City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Pevek,RU,2022-03-03 20:58:05,69.7008,170.3133,-16.4,100,96,0.69
68,Georgetown,MY,2022-03-03 20:57:06,5.4112,100.3354,80.53,93,20,2.3
69,Aksu,CN,2022-03-03 20:58:05,41.1231,80.2644,41.38,34,0,5.03
70,Nanortalik,GL,2022-03-03 20:58:06,60.1432,-45.2371,21.11,64,79,12.73
71,Sao Jose Da Coroa Grande,BR,2022-03-03 20:58:07,-8.8978,-35.1478,81.52,73,25,8.55
72,Lucea,JM,2022-03-03 20:58:07,18.451,-78.1736,84.06,72,24,12.39
73,San Rafael,AR,2022-03-03 20:58:07,-34.6177,-68.3301,89.15,28,0,6.38
74,Serebryanyy Bor,RU,2022-03-03 20:58:08,56.8,124.8,-11.92,100,98,1.99
75,Salinas,US,2022-03-03 20:58:08,36.6777,-121.6555,65.01,58,100,5.77
76,Poum,NC,2022-03-03 20:58:09,-20.2333,164.0167,80.65,73,5,6.46
77,Sakakah,SA,2022-03-03 20:58:09,29.9697,40.2064,58.57,40,89,17.98
78,Loreto,MX,2022-03-03 20:58:10,22.2667,-101.9667,79.27,15,0,2.86
79,Luderitz,NA,2022-03-03 20:58:10,-26.6481,15.1594,65.98,84,0,8.95
80,Nouadhibou,MR,2022-03-03 20:58:10,20.931,-17.0347,67.98,77,0,17.27
81,Atuona,PF,2022-03-03 20:58:11,-9.8,-139.0333,79.12,73,2,20.15
82,Malakal,SS,2022-03-03 20:58:11,9.5334,31.6605,85.12,40,17,4.0
83,Saint-Philippe,RE,2022-03-03 20:58:12,-21.3585,55.7679,78.39,83,34,9.75
84,Garowe,SO,2022-03-03 20:58:12,8.4054,48.4845,68.0,62,97,12.1
85,Sitka,US,2022-03-03 20:58:12,57.0531,-135.33,39.06,74,100,2.21
86,Provideniya,RU,2022-03-03 20:58:13,64.3833,-173.3,15.91,79,100,27.0
87,Correntina,BR,2022-03-03 20:58:13,-13.3433,-44.6367,78.66,70,54,3.6
88,Arraial Do Cabo,BR,2022-03-03 20:58:14,-22.9661,-42.0278,85.96,69,0,13.8
89,Kanlagay,PH,2022-03-03 20:58:14,5.8757,121.2915,80.04,83,96,4.32
90,Burnie,AU,2022-03-03 20:58:14,-41.0667,145.9167,67.91,90,99,13.76
91,Kapaa,US,2022-03-03 20:58:15,22.0752,-159.319,81.48,62,4,1.01
92,Amapa,BR,2022-03-03 20:58:15,1.0,-52.0,77.27,95,78,2.66
93,Pimentel,PE,2022-03-03 20:58:15,-6.8367,-79.9342,80.89,61,0,9.22
94,Bluff,NZ,2022-03-03 20:59:16,-46.6,168.3333,59.81,91,100,7.96
95,Thompson,CA,2022-03-03 20:54:45,55.7435,-97.8558,15.96,38,0,11.5
96,Salalah,OM,2022-03-03 20:59:16,17.0151,54.0924,72.63,73,0,2.26
97,Price,US,2022-03-03 20:55:01,39.5994,-110.8107,60.17,49,100,5.84
98,Balkanabat,TM,2022-03-03 20:59:17,39.5108,54.3671,71.6,27,100,13.73
99,Srednekolymsk,RU,2022-03-03 20:59:17,67.45,153.6833,-27.98,100,100,3.4
100,Boende,CD,2022-03-03 20:59:17,-0.2167,20.8667,70.61,95,100,1.99
101,Qaanaaq,GL,2022-03-03 20:59:18,77.484,-69.3632,6.73,58,0,9.8
102,Mandalgovi,MN,2022-03-03 20:59:18,45.7625,106.2708,9.21,44,2,16.84
103,Kasongo-Lunda,CD,2022-03-03 20:59:19,-6.4667,16.8167,68.88,98,96,1.61
104,Cape Town,ZA,2022-03-03 20:59:19,-33.9258,18.4232,66.27,78,20,8.05
105,Kodinsk,RU,2022-03-03 20:59:20,58.6881,99.1844,-5.71,100,93,2.15
106,Conceicao Da Barra,BR,2022-03-03 20:59:20,-18.5933,-39.7322,78.46,82,38,4.88
107,Yulara,AU,2022-03-03 20:59:21,-25.2406,130.9889,76.84,47,27,10.36
108,Ouadda,CF,2022-03-03 20:59:21,8.0777,22.4007,81.82,34,98,6.02
109,Verkhoyansk,RU,2022-03-03 20:59:21,67.5447,133.385,-17.07,96,100,1.48
110,Komatipoort,ZA,2022-03-03 20:59:22,-25.4332,31.9548,72.05,87,0,2.93
111,Port Elizabeth,ZA,2022-03-03 20:59:00,-33.918,25.5701,69.1,88,0,6.91
112,Aleksandrov Gay,RU,2022-03-03 20:59:22,50.147,48.5704,31.96,91,100,15.75
113,Torbay,CA,2022-03-03 20:59:23,47.6666,-52.7314,29.88,72,100,13.8
114,Codrington,AU,2022-03-03 20:59:23,-38.2667,141.9667,71.04,59,100,6.98
115,North Platte,US,2022-03-03 20:58:59,41.1239,-100.7654,55.71,31,28,12.3
116,Aklavik,CA,2022-03-03 20:59:24,68.2191,-135.0107,9.43,72,75,5.75
117,Hermanus,ZA,2022-03-03 20:59:24,-34.4187,19.2345,64.9,81,100,2.33
118,Sao Filipe,CV,2022-03-03 20:59:24,14.8961,-24.4956,74.86,62,0,15.84
119,East London,ZA,2022-03-03 20:59:25,-33.0153,27.9116,72.52,86,100,3.69
120,Kruisfontein,ZA,2022-03-03 20:59:25,-34.0033,24.7314,66.88,81,100,2.19
121,Agadir,MA,2022-03-03 20:59:26,30.4202,-9.5982,61.25,69,8,4.14
122,Faanui,PF,2022-03-03 20:59:26,-16.4833,-151.75,81.28,76,18,13.78
123,Tuatapere,NZ,2022-03-03 20:59:26,-46.1333,167.6833,59.83,78,100,3.2
124,Stornoway,GB,2022-03-03 20:59:27,58.2093,-6.3865,38.93,90,100,4.61
125,Hobart,AU,2022-03-03 20:54:29,-42.8794,147.3294,62.26,87,100,1.99
126,Xining,CN,2022-03-03 20:59:27,36.6167,101.7667,28.09,69,39,3.13
127,Te Anau,NZ,2022-03-03 20:59:28,-45.4167,167.7167,58.15,78,100,1.19
128,Douglas,US,2022-03-03 20:58:42,41.3,-96.167,51.15,44,0,14.97
129,Dese,ET,2022-03-03 20:59:28,11.1333,39.6333,53.53,45,44,2.46
130,Usak,TR,2022-03-03 20:55:17,38.5,29.4167,27.09,83,47,2.33
131,Lagoa,PT,2022-03-03 20:59:29,39.05,-27.9833,59.4,74,100,14.76
132,La Ronge,CA,2022-03-03 20:59:29,55.1001,-105.2842,12.42,26,0,3.44
133,Ranghulu,CN,2022-03-03 20:59:29,46.65,124.8667,21.15,83,100,12.37
134,Lorengau,PG,2022-03-03 20:59:30,-2.0226,147.2712,81.03,81,78,1.54
135,Fortuna,US,2022-03-03 20:58:36,40.5982,-124.1573,56.48,83,100,17.27
